Код,Наименование,Полное наименование,Дата выпуска
00029,Анкер (750*120*12),Анкер (750*120*12),2013-03-25T00:00:00
00051,Анкер (750*120*12),Анкер (750*120*12),2013-03-25T00:00:00
00052,Анкер (750*120*12),Анкер (750*120*12),2013-03-25T00:00:00
00053,Анкер (750*120*12),Анкер (750*120*12),2013-03-25T00:00:00
00054,Анкер (750*120*12),Анкер (750*120*12),2013-03-25T00:00:00
00055,Анкер (750*120*12),Анкер (750*120*12),2013-03-25T00:00:00
00056,Анкер (750*120*12),Анкер (750*120*12),2013-03-25T00:00:00
00057,Анкер (750*120*12),Анкер (750*120*12),2013-03-25T00:00:00
00058,Анкер (750*120*12),Анкер (750*120*12),2013-03-25T00:00:00
00059,Анкер (750*120*12),Анкер (750*120*12),2013-03-25T00:00:00
00033,Анкерний трос,Анкерний трос,2013-04-15T00:00:00
00069,Анкерний трос,Анкерний трос,2013-04-15T00:00:00
00070,Анкерний трос,Анкерний трос,2013-04-15T00:00:00
00071,Анкерний трос,Анкерний трос,2013-04-15T00:00:00
00072,Анкерний трос,Анкерний трос,2013-04-15T00:00:00
00073,Анкерний трос,Анкерний трос,2013-04-15T00:00:00
00074,Анкерний трос,Анкерний трос,2013-04-15T00:00:00
00075,Анкерний трос,Анкерний трос,2013-04-15T00:00:00
00076,Анкерний трос,Анкерний трос,2013-04-15T00:00:00
00077,Анкерний трос,Анкерний трос,2013-04-15T00:00:00
00-000007,бочка 225 л,бочка 225 л,0001-01-01T00:00:00
00-000008,бочка 225 л,бочка 225 л,0001-01-01T00:00:00
00-000009,бочка 375 л,бочка 375 л,0001-01-01T00:00:00
00038,"Дріт оцинкований т/н ф 1,2","Дріт оцинкований т/н ф 1,2",2013-06-14T00:00:00
00039,"Дріт оцинкований т/н ф 1,2","Дріт оцинкований т/н ф 1,2",2013-06-14T00:00:00
00089,"Дріт оцинкований т/н ф 1,2","Дріт оцинкований т/н ф 1,2",2013-06-14T00:00:00
00090,"Дріт оцинкований т/н ф 1,2","Дріт оцинкований т/н ф 1,2",2013-06-14T00:00:00
00091,"Дріт оцинкований т/н ф 1,2","Дріт оцинкований т/н ф 1,2",2013-06-14T00:00:00
00092,"Дріт оцинкований т/н ф 1,2","Дріт оцинкований т/н ф 1,2",2013-06-14T00:00:00
00093,"Дріт оцинкований т/н ф 1,2","Дріт оцинкований т/н ф 1,2",2013-06-14T00:00:00
00094,"Дріт оцинкований т/н ф 1,2","Дріт оцинкований т/н ф 1,2",2013-06-14T00:00:00
00095,"Дріт оцинкований т/н ф 1,2","Дріт оцинкований т/н ф 1,2",2013-06-14T00:00:00
00096,"Дріт оцинкований т/н ф 1,2","Дріт оцинкований т/н ф 1,2",2013-06-14T00:00:00
00097,"Дріт оцинкований т/н ф 1,2","Дріт оцинкований т/н ф 1,2",2013-06-14T00:00:00
00041,"Дріт оцинкований т/н ф 3,0","Дріт оцинкований т/н ф 3,0",2013-03-25T00:00:00
00098,"Дріт оцинкований т/н ф 3,0","Дріт оцинкований т/н ф 3,0",2013-03-25T00:00:00
00099,"Дріт оцинкований т/н ф 3,0","Дріт оцинкований т/н ф 3,0",2013-03-25T00:00:00
00100,"Дріт оцинкований т/н ф 3,0","Дріт оцинкований т/н ф 3,0",2013-03-25T00:00:00
00101,"Дріт оцинкований т/н ф 3,0","Дріт оцинкований т/н ф 3,0",2013-03-25T00:00:00
00102,"Дріт оцинкований т/н ф 3,0","Дріт оцинкований т/н ф 3,0",2013-03-25T00:00:00
00103,"Дріт оцинкований т/н ф 3,0","Дріт оцинкований т/н ф 3,0",2013-03-25T00:00:00
00104,"Дріт оцинкований т/н ф 3,0","Дріт оцинкований т/н ф 3,0",2013-03-25T00:00:00
00105,"Дріт оцинкований т/н ф 3,0","Дріт оцинкований т/н ф 3,0",2013-03-25T00:00:00
00106,"Дріт оцинкований т/н ф 3,0","Дріт оцинкований т/н ф 3,0",2013-03-25T00:00:00
00-000002,Ємність із нержав. сталі,Ємність із нержав. сталі,2018-09-28T00:00:00
00-000003,Ємність із нержав. сталі,Ємність із нержав. сталі,2018-09-28T00:00:00
00-000004,Ємність із нержав. сталі,Ємність із нержав. сталі,2018-09-28T00:00:00
00-000005,Ємність із нержав. сталі,Ємність із нержав. сталі,2018-09-28T00:00:00
00-000006,Ємність із нержав. сталі,Ємність із нержав. сталі,2018-09-28T00:00:00
00004,Каток СБ,Каток СБ,0001-01-01T00:00:00
00015,Кінцева опора  виноградників 2500*60*40 г/ц,Кінцева опора  виноградників 2500*60*40 г/ц,2013-04-24T00:00:00
00017,Кінцева опора  виноградників 2500*60*40 г/ц,Кінцева опора  виноградників 2500*60*40 г/ц,2013-04-24T00:00:00
00018,Кінцева опора  виноградників 2500*60*40 г/ц,Кінцева опора  виноградників 2500*60*40 г/ц,2013-04-24T00:00:00
00019,Кінцева опора  виноградників 2500*60*40 г/ц,Кінцева опора  виноградників 2500*60*40 г/ц,2013-04-24T00:00:00
00020,Кінцева опора  виноградників 2500*60*40 г/ц,Кінцева опора  виноградників 2500*60*40 г/ц,2013-04-24T00:00:00
00021,Кінцева опора  виноградників 2500*60*40 г/ц,Кінцева опора  виноградників 2500*60*40 г/ц,2013-04-24T00:00:00
00022,Кінцева опора  виноградників 2500*60*40 г/ц,Кінцева опора  виноградників 2500*60*40 г/ц,2013-04-24T00:00:00
00023,Кінцева опора  виноградників 2500*60*40 г/ц,Кінцева опора  виноградників 2500*60*40 г/ц,2013-04-24T00:00:00
