Дата,Поступление,Списание,Назначение платежа,Контрагент,Вид операции,Вх.номер,Вх.дата,Организация,Банковский счет,Комментарий
25.08.2019,1949.98,,,"Товариство з обеженою відповідальністю ""ЙОУРЗ БІСТРО""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
20.12.2019,19199.52,,,"Товариство з обмеженою відповідальністю ""ДАЛІ БУДЕ Ресто""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
26.06.2020,2099.88,,,"Товариство з обмеженою відповідальністю  ""БЄЛКІН""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
01.07.2020,360.0,,,"Товариство з обмеженою відповідальністю ""ВІТІС ГРУП""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
01.07.2020,6480.0,,,Лайк Локал,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
01.07.2020,2160.0,,,Лайк Локал,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
01.07.2020,4245.0,,,Фізична особа-підприємець Мігашко  ,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
01.07.2020,6840.6,,,БЮРО ВИН,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
01.07.2020,6899.97,,,"Товариство з обмеженою відповідальністю ""МОРТАДЕЛА""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
02.07.2020,1998.0,,,Бернардацци,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
02.07.2020,1000.0,,,Барбос,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
03.07.2020,510.01,,,Капінус ФОП,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
03.07.2020,3920.06,,,"Товариство з обмеженою відповідальністю ""ТС ПЛЮС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
03.07.2020,7740.02,,,"Товариство з обмеженою відповідальністю ""БЛУРІЧ КОРПОРЕЙШН""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
05.07.2020,1200.0,,,Каля,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
06.07.2020,2200.0,,,Крутоголова Олена Вадимівна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
06.07.2020,1800.0,,,ПМ 2020,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
06.07.2020,6597.97,,,"Товариство з обмеженою відповідальністю ""ТОРГОВИЙ ДІМ ""МЕДІАТРЕЙДІНГ""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
06.07.2020,3000.0,,,"Товариство з обмеженою відповідальністю ""Сирні Мандри""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
07.07.2020,350.0,,,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВИНФОРТ""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
07.07.2020,5000.0,,,КАНАПЕ,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
08.07.2020,1920.03,,,"Товариство з обмеженою відповідальністю ""ТС ПЛЮС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
08.07.2020,7199.4,,,БЮРО ВИН,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
09.07.2020,2000.0,,,Фізична особа-підприємець Галат Олександр Миколайович,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
13.07.2020,9990.0,,,Лайк Локал,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
13.07.2020,1480.0,,,"Товариство з обмеженою відповідальністю ""ВАЙН ХАНТЕРС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
13.07.2020,3350.02,,,"Товариство з обмеженою відповідальністю ""Сирні Мандри""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
13.07.2020,2649.98,,,ТОВ Сокар Петроліум,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
14.07.2020,200.01,,,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВИНФОРТ""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
14.07.2020,2530.04,,,"Товариство з обмеженою відповідальністю ""ТС ПЛЮС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
15.07.2020,7074.6,,,БЮРО ВИН,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
16.07.2020,4500.0,,,Крутоголова Олена Вадимівна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
19.07.2020,1285.01,,,Каля,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
19.07.2020,1240.01,,,Каля,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
19.07.2020,1900.01,,,Баррік,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
20.07.2020,3030.01,,,Фізична особа-підприємець Мігашко  ,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
20.07.2020,10260.0,,,Лайк Локал,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
20.07.2020,1800.0,,,ПАРК 2,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
20.07.2020,13715.91,,,"Товариство з обмеженою відповідальністю ""ТОРГОВИЙ ДІМ ""МЕДІАТРЕЙДІНГ""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
21.07.2020,3726.0,,,Матко ФОП,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
21.07.2020,2219.98,,,ДЖАННІ-ХХІ ,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
22.07.2020,10101.0,,,БЮРО ВИН,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
23.07.2020,3230.02,,,Фізична особа-підприємець Мігашко  ,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
23.07.2020,1200.02,,,БІФ,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
23.07.2020,1030.02,,,"Товариство з обмеженою відповідальністю ""ВАЙН ХАНТЕРС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
24.07.2020,4550.16,,,"Товариство з обмеженою відповідальністю ""ТС ПЛЮС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
27.07.2020,8910.0,,,Лайк Локал,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
27.07.2020,2549.99,,,"Товариство з обмеженою відповідальністю ""БОГІВ""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
27.07.2020,2099.92,,,БІФ,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
28.07.2020,2739.98,,,"ТОВ ""ИГЛЕСИА БЛАНКА""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
28.07.2020,3300.0,,,Крутоголова Олена Вадимівна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
29.07.2020,530.0,,,Фізична особа-підприємець Чередниченко Олег Володимирович,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
29.07.2020,15000.0,,,"Філія ""ТОП-АЛКО"" Товариства з обмеженою відповідальністю ""ЕЛЛІПСІС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
29.07.2020,5130.0,,,Бернардацци,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
29.07.2020,4960.8,,,БЮРО ВИН,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
29.07.2020,517.99,,,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВИНФОРТ""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
30.07.2020,2219.98,,,ПМ 2020,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
30.07.2020,1000.0,,,"Товариство з обмеженою відповідальністю ""ВІТІС ГРУП""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
31.07.2020,1620.0,,,Лайк Локал,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
31.07.2020,1948.34,,,Фізична особа- підприємець Кузьменко Олександра Вікторівна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
31.07.2020,3160.03,,,"Товариство з обмеженою відповідальністю ""ТС ПЛЮС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
02.08.2020,2300.0,,,Крутоголова Олена Вадимівна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
03.08.2020,6103.99,,,"Товариство з обмеженою відповідальністю ""ТОРГОВИЙ ДІМ ""МЕДІАТРЕЙДІНГ""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
03.08.2020,990.0,,,"Товариство з обмеженою відповідальністю ""ВІТІС ГРУП""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.08.2020,1860.02,,,Фізична особа-підприємець Мігашко  ,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.08.2020,3370.0,,,ДЖАННІ-ХХІ ,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.08.2020,1980.0,,,ТОВ Двадцать,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.08.2020,2550.01,,,Фізична особа- підприємець Кузьменко Олександра Вікторівна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.08.2020,910.0,,,"Товариство з обмеженою відповідальністю ""ВАЙН ХАНТЕРС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.08.2020,2000.0,,,Крутоголова Олена Вадимівна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.08.2020,13500.0,,,Лайк Локал,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.08.2020,2090.01,,,Каля,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.08.2020,5000.0,,,КАНАПЕ,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.08.2020,540.0,,,ДЖАННІ-ХХІ ,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.08.2020,1670.01,,,Баррік,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.08.2020,1470.0,,,Фізична особа-підприємець Мігашко  ,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.08.2020,4800.02,,,"Дочірнє підприємство ""Міміно""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.08.2020,4800.1,,,"Товариство з обмеженою відповідальністю ""СОЛЬ""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.08.2020,1730.0,,,Баррік,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.08.2020,990.0,,,"Товариство з обмеженою відповідальністю ""ВІТІС ГРУП""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.08.2020,400.01,,,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВИНФОРТ""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.08.2020,2110.04,,,"Товариство з обмеженою відповідальністю ""ТС ПЛЮС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.08.2020,12378.6,,,БЮРО ВИН,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.08.2020,9342.18,,,"Філія ""ТОП-АЛКО"" Товариства з обмеженою відповідальністю ""ЕЛЛІПСІС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.08.2020,1050.01,,,СТАР-ГОРОД,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.08.2020,3280.0,,,Фізична особа-підприємець Галат Олександр Миколайович,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.08.2020,735.98,,,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВИНФОРТ""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.08.2020,1989.99,,,"Товариство з обмеженою відповідальністю ""ТС ПЛЮС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.08.2020,7290.0,,,Бернардацци,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.08.2020,8716.28,,,БЮРО ВИН,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.08.2020,1050.01,,, Ременнікова Гання Володимирівна ,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
