Счет,Сальдо нач. Дт,Сальдо нач. Кт,Обороты Дт,Обороты Кт,Сальдо кон. Дт,Сальдо кон. Кт
00,,,,815498.72,,815498.72
28,,,3121050.0,2207241.28,913808.72,
30,,,70826.64,,70826.64,
31,,,74441236.98,71234.95,74370002.03,
36,,,81128631.0,75345968.66,5782662.34,
38,,,,257000.0,,257000.0
64,,,271617.34,10058788.56,,9787171.22
68,,,462419.29,462419.29,,
70,,,12912583.61,79853405.21,,66940821.6
71,,,,52521.16,,52521.16
79,,,,2365178.31,,2365178.31
90,,,2207241.28,,2207241.28,
92,,,,3126350.0,-3126350.0,
Итого,,,174615606.14,174615606.14,80218191.01,80218191.01
