Наименование,Код,Артикул,Ед.,% НДС,Код для НН (по-умолч.),Комментарий
1,00-00000228,,пляш.,20%,,
"215/60 R17 96H NOKIAN SNOWPROOF 2 SUV Шина зимова (2025, Фінляндія)",00-00000369,,шт,20%,,
300.1006.3 Мембрана D.24 FKM,00-00000316,,шт,20%,,
Cross Evolution YSEO 10 kg HP (20x500G) сухі активні дріжджі,00-00000355,,кг,20%,,
Goferm Protect (Natstep) ,00000000085,,кг,20%,2102 20 19 00,
Lalvin BM  4*4  10 kg HP (20x500G) сухі активні дріджі,00-00000354,,кг,20%,,
Lalvin CY 3079  YSEO 10 kg HP (20x500G) сухі активні дріжджі,00-00000352,,кг,20%,,
Lalvin ICV / D254 (YSEO) 10 kg HP (20x500G) сухі активні дріжджі,00-00000351,,кг,20%,,
Lalvin QA23 (YSEO) 10 kg HP (20x500G) сухі активні дріжджі,00-00000350,,кг,20%,,
Lalvin RC 212 10 kg HP (20x500G) сухі активні дріжджі,00-00000348,,кг,20%,,
LALVIN VP 41 MBR 250G/250HL (Малолактичні бактерії ),00-00000359,,шт,20%,,
LALVIN VP 41 MBR 25G/25HL (Малолактичні бактерії ),00-00000356,,шт,20%,,
Livaferm BDX (YSEO) 10 кг HP (20х500G) сухі активні дріжджі,00-00000300,,кг,20%,,
PVPP V (POLIVINILPOLIPIRROLIDONE) P 1 KG (полівінілполіпіролідон),00-00000339,,кг,20%,,
Uvaferm BDX (YSEO) 10 kg HP (20x500G) сухі активні дріжджі,00-00000353,,кг,20%,,
VELLUTO EVOLUTION 10 KG  HP (20X500G)  ) сухі активні дріжджі,00-00000349,,кг,20%,,
WD 40 0.5л универсал.прон. ХАДО,00000000254,,пляш.,20%,,
Автоматичний вимикач,00000000116,,пляш.,20%,,
Айс,00-00000136,,пляш.,20%,,
Аккорд 5 л,00-00000043,,кг,20%,,
Акробат 1кг,00000000078,,кг,20%,,
Акумулятор автомобільний,00-00000034,,шт,20%,,
алмаз,00-00000032,,л.,20%,,
Альбариньо (Магнум),00-00000266,,пляш.,Без НДС,,
Амфора First Wine 2021,00-00000236,4820212630514,пляш.,20%,2204 21 97 00 ,
Амфора Рислинг 2020,00-00000202,4820212630484,пляш.,20%,2204 21 95 00 ,
Амфора Рислинг 2021,00-00000244,4820212630484,пляш.,20%,2204 21 95 00 ,
Амфора Рислинг 2022,00-00000276,4820212630484,пляш.,20%,2204 21 95 00 ,
Амфора Рислинг 2023,00-00000313,4820212630484,пляш.,20%,2204 21 95 00 ,
Амфора Ркацители 2020,00-00000203,4820212630491,пляш.,20%,2204 21 95 00 ,
Амфора Ркацители 2021,00-00000234,4820212630491,пляш.,20%,2204 21 95 00 ,
Амфора Ркацители 2022,00-00000287,4820212630491,пляш.,20%,2204 21 95 00 ,
Амфора Ркацители 2023,00-00000308,4820212630491,пляш.,20%,2204 21 95 00 ,
Амфора Ркацители 2024,00-00000347,4820212630491,пляш.,20%,2204 21 95 00 ,
анализ,00-00000022,,шт,20%,,
анализ,00-00000023,,шт,20%,,
Анализи,00-00000021,,шт,,,
Анкер (750*120*12),00000000045,,пляш.,20%,,
Анкерний трос,00000000050,,пляш.,Без НДС,,
Антракол 70 з.п. 10кг,00000000169,,пляш.,20%,,
Ао Каберне,00-00000253,,пляш.,Без НДС,,
АО ОЧ,00-00000254,4820212630033,пляш.,20%,2204 21 98 00 ,
АО Ркацители,00-00000255,,пляш.,Без НДС,,
АО Фетяска,00-00000252,4820212630057,пляш.,Без НДС,2204 21 97 00 ,
Арбина 2014,00-00000101,,пляш.,20%,,SOLD OUT
Арбина 2015  ,00-00000093,,пляш.,20%,,
Арбіна 2013,00-00000251,,пляш.,Без НДС,,
Арбіна 2013 (Магнум),00-00000265,,пляш.,Без НДС,,
Арбіна 2016,00-00000119,4820212630293,пляш.,20%,2204 21 97 00,
Арбіна 2017,00-00000173,4820212630293,пляш.,20%,2204 21 97 00,
Арбіна 2018,00-00000181,4820212630293,пляш.,20%,2204 21 97 00 ,
Арбіна 2019,00-00000219,4820212630293,пляш.,20%,2204 21 95 00 ,
Арбіна 2020,00-00000291,4820212630293,пляш.,20%,2204 21 95 00 ,
Арбіна 2020 (Оранж Вікторія),00-00000301,4820212630293,пляш.,20%,2204 21 95 00 ,
Арбіна 2021,00-00000315,4820212630293,пляш.,20%,2204 21 95 00 ,
Арбіна 2022,00-00000318,4820212630293,пляш.,20%,2204 21 95 00 ,
Арбіна 2023,00-00000371,4820212630293,пляш.,20%,2204 21 95 00 ,
аренда,00000000036,,пляш.,Без НДС,,
Ареометр АСП-1 10-20,00000000239,,пляш.,20%,,
Артания,00-00000144,,,,,
Артания белое ( Bag-in-Box 10л ) 2019,00-00000222,4820212630095,шт,20%,,
Артания белое 2017,00-00000076,,пляш.,20%,,
Артания белое 2018,00-00000111,4820212630095,пляш.,20%,2204 21 97 00,
Артания белое 2019,00-00000190,4820212630095,пляш.,20%,2204 21 97 00 ,
Артания белое 2020,00-00000205,4820212630095,пляш.,20%,2204 21 97 00 ,
Артания белое 2021,00-00000246,4820212630095,пляш.,20%,2204 21 97 00 ,
Артания белое 2022,00-00000277,4820212630095,пляш.,20%,2204 21 97 00 ,
Артания белое 2022 покупное,00-00000299,4820212630095,пляш.,20%,,
Артания белое 2023,00-00000317,4820212630095,пляш.,20%,2204 21 97 00 ,
Артания белое 2024,00-00000357,4820212630095,пляш.,20%,2204 21 97 00 ,
Артания красное ( Bag-in-Box 10л ) 2019,00-00000223,4820212630095,шт,20%,,
Артания красное 2014,00-00000130,,пляш.,20%,,
Артания красное 2015,00-00000104,4820212630088,пляш.,20%,2204 21 98 00,
Артания красное 2017,00-00000077,,пляш.,20%,,
Артания красное 2018,00-00000112,4820212630088,пляш.,20%,2204 21 98 00,
Артания красное 2019,00-00000184,4820212630088,пляш.,20%,2204 21 98 00 ,
Артания красное 2020,00-00000224,4820212630088,пляш.,20%,2204 21 98 00 ,
Артания красное 2021,00-00000249,4820212630088,пляш.,20%,2204 21 98 00 ,
Артания красное 2022,00-00000275,4820212630088,пляш.,20%,2204 21 98 00 ,
Артания красное 2023,00-00000329,4820212630088,пляш.,20%,2204 21 98 00 ,
Артания Резерв Красное 2012,00-00000270,,пляш.,20%,,
Артания Резерв Красное 2013,00-00000129,,пляш.,20%,,
Артания Резерв Красное 2014,00-00000105,,пляш.,20%,,
Артания Резерв Красное 2015,00-00000102,,пляш.,20%,,
Артания Резерв Красное 2016,00-00000140,4820212630217,пляш.,20%,2204 21 98 00,
Артания Резерв Красное 2017,00-00000179,4820212630217,пляш.,20%,,
Артания Резерв Красное 2017,00-00000177,4820212630217,пляш.,20%,2204 21 98 00 ,
Артания Резерв Красное 2018,00-00000199,4820212630217,пляш.,20%,2204 21 98 00 ,
"Артания Резерв червоне 0,750",00-00000164,,пляш.,20%,,
Артания розовое 2019,00-00000118,4820212630118 ,пляш.,20%,2204 21 98 00,
Артания розовое 2020,00-00000192,4820212630118 ,пляш.,20%,2204 21 98 00 ,
Артания розовое 2021,00-00000233,4820212630118 ,пляш.,20%,2204 21 98 00 ,
