Lot code,Lot Name,Volume (liters),Stage,Vintage,Varietal,Varietal %,Color,Vineyard,Block,Tanks,Barrels,Tags,Alc,RS,Free SO2,Total SO2,TA,VA,PH
ALB25,Albarino,3000,Aging,2025,Albariño,83.33%,white,Blend,Blend,203,0,"#26, Beykush White",,,,,,,
ALGCHSBBW24,Aligote+SB+CH Base Wine Beresagne,1000,Aging,2024,Sauvignon Blanc,48.23%,sparkling,Blend,Blend,84,0,"#26, Beresagne Blanc",12.5,,35.2,64,7,0.5,
ARBINA24,Arbina,2700,Aging,2024,Rkatsiteli,100%,orange,Участок 6 га,9,0,12,"#28, #29, Orange wine Arbina",,,,,,,
ARS24,Artania Rose,1000,Aging,2024,Pinot Gris,75.99%,rose,Blend,Blend,90,0,"#25, Artania Rose",,,,,,,
AW24,Artania White,5910,Pre-Bottling Stabilization,2024,Chardonnay,46.69%,white,Blend,Blend,"74, 201",0,"#25, Artania White",13.43,,22,96,6.2,0.45,
CF23,Cabernet Franc,675,Aging,2023,Cabernet Franc,95.56%,red,Blend,Blend,0,3,"#26, #BeykushLocaDeserta",,,,,,3.3,
CF25,Cabernet Franc,1165,Aging,2025,Cabernet Franc,100%,red,Участок 3 га,2,"68, 160",0,"#28, Beykush Loca Deserta",,,,,,,
CH2HA23,Chardonnay 2 ha,675,Aging,2023,Chardonnay,100%,white,Blend,Blend,75,0,"#25, Beykush Chardonnay Reserve",13.6,,24,86,7.2,0.4,
CH2HA24,Chardonnay 2 ha,1575,Aging,2024,Chardonnay,100%,white,Blend,Blend,0,7,"#26, Beykush Chardonnay Reserve",,,,,,,
CH3HA23BW,Chardonnay 3 ha (base Beresagne Blanc),1000,Aging,2023,Chardonnay,100%,sparkling,Участок 3 га,4,82,0,"#24, #25, Beresagne Blanc",12.18,,28,108,7,0.4,
CH6HA24,Chardonnay 6 ha,225,Aging,2024,Chardonnay,100%,white,Blend,Blend,0,1,"#26, Beykush Chardonnay Reserve",,,,,,,
